username,status,reason,source,country,followers,avg_views_10,engagement_rate,shop_signals,shop_valid,shop_proof,shop_proof_method,email,email_source,email_verified,bio_url,bio,profile_url,source_url,fastmoss_units_sold,fastmoss_gmv,fastmoss_seller_id
patriii.asmr,,,tikhub_search,,,,,,,,,,,,,,,,,,
ivanatonicelli,,,tikhub_search,,,,,,,,,,,,,,,,,,
aimeetravels26,,,tikhub_search,,,,,,,,,,,,,,,,,,
sofiamarcost,,,tikhub_search,,,,,,,,,,,,,,,,,,
bygsus,,,tikhub_search,,,,,,,,,,,,,,,,,,
miralia.emprende,,,tikhub_search,,,,,,,,,,,,,,,,,,
diarysonia,,,tikhub_search,,,,,,,,,,,,,,,,,,
milenis506,,,tikhub_search,,,,,,,,,,,,,,,,,,
entiktokshop,,,tikhub_search,,,,,,,,,,,,,,,,,,
tiktokshop_spain,,,tikhub_search,,,,,,,,,,,,,,,,,,
calletana44926,,,tikhub_search,,,,,,,,,,,,,,,,,,
userlydiacr,,,tikhub_search,,,,,,,,,,,,,,,,,,
paulettchong,,,tikhub_search,,,,,,,,,,,,,,,,,,
giulichiatti,,,tikhub_search,,,,,,,,,,,,,,,,,,
mochilalatinaenparis,,,tikhub_search,,,,,,,,,,,,,,,,,,
carlaalestein,,,tikhub_search,,,,,,,,,,,,,,,,,,
aariiadnna,,,tikhub_search,,,,,,,,,,,,,,,,,,
sofi_nippon,,,tikhub_search,,,,,,,,,,,,,,,,,,
las.siss,,,tikhub_search,,,,,,,,,,,,,,,,,,
verygoodpe,,,tikhub_search,,,,,,,,,,,,,,,,,,
ava.spam1567,,,tikhub_search,,,,,,,,,,,,,,,,,,
augusto_0967,,,tikhub_search,,,,,,,,,,,,,,,,,,
user7083860505736,,,tikhub_search,,,,,,,,,,,,,,,,,,
userkamilin,,,tikhub_search,,,,,,,,,,,,,,,,,,
soop_spain,,,tikhub_search,,,,,,,,,,,,,,,,,,
alexgenerando,,,tikhub_search,,,,,,,,,,,,,,,,,,
realsuccesshotspot,,,tikhub_search,,,,,,,,,,,,,,,,,,
iniciaonline,,,tikhub_search,,,,,,,,,,,,,,,,,,
profit.kyoto,,,tikhub_search,,,,,,,,,,,,,,,,,,
shopwithsissa,,,tikhub_search,,,,,,,,,,,,,,,,,,
daviddesde0,,,tikhub_search,,,,,,,,,,,,,,,,,,
juanfrynerja,,,tikhub_search,,,,,,,,,,,,,,,,,,
davidelmentor,,,tikhub_search,,,,,,,,,,,,,,,,,,
jorgito.ofertas,,,tikhub_search,,,,,,,,,,,,,,,,,,
